Ward,Borough,Life Expectancy 2005-2009,Life Expectancy 2006-2010,Life Expectancy 2007-11,Life Expectancy 2008-12,Life Expectancy 2009-13,Childhood Obesity 2009,Childhood Obesity 2010,Childhood Obesity 2011,Childhood Obesity 2012,Childhood Obesity 2013,GCSE point scores - 2009,GCSE point scores - 2010,GCSE point scores - 2011,GCSE point scores - 2012,GCSE point scores - 2013,Unauthorised Absence in All Schools (%) - 2009,Unauthorised Absence in All Schools (%) - 2010,Unauthorised Absence in All Schools (%) - 2011,Unauthorised Absence in All Schools (%) - 2012,Unauthorised Absence in All Schools (%) - 2013,% dependent children in out-of-work households - 2009,% dependent children in out-of-work households - 2010,% dependent children in out-of-work households - 2011,% dependent children in out-of-work households - 2012,% dependent children in out-of-work households - 2013,Public Transport Accessibility - 2009,Public Transport Accessibility - 2010,Public Transport Accessibility - 2011,Public Transport Accessibility - 2012,Public Transport Accessibility - 2013,"Homes with access to open space & nature, and % greenspace - 2009","Homes with access to open space & nature, and % greenspace - 2010","Homes with access to open space & nature, and % greenspace - 2011","Homes with access to open space & nature, and % greenspace - 2012","Homes with access to open space & nature, and % greenspace - 2013","Subjective well-being average score, 2011/12 and 2012/13","Subjective well-being average score, 2011/12 and 2012/13","Subjective well-being average score, 2011/12 and 2012/13","Subjective well-being average score, 2011/12 and 2012/13","Subjective well-being average score, 2013",,,
Acton Central,Ealing,82.6,82.5,82.2,82.5,82.6,17,17,17,17.6,19,337,354,343,352,343,0.83,0.91,1.04,0.86,1,33,26,26,24,21,3.3,3.3,3.3,3.3,3.1,5.6,5.6,5.6,5.6,5.6,7.6,7.6,7.6,7.6,7.7,,,
Cleveland,Ealing,80.7,80.8,81.2,82.1,83,17.1,17.1,17.1,18.9,18.8,354,364,349,362,353,0.51,0.51,0.72,0.71,0.82,27,25,24,22,19,2.8,2.8,2.9,2.9,3,4.2,4.2,4.2,4.2,4.2,8.1,8.1,8.1,8.1,8,,,
Dormers Wells,Ealing,79.1,80,80.4,79.9,80.6,26.8,26.8,26.8,25.6,24.4,322,340,330,333,333,0.71,0.63,0.71,0.66,0.73,34,29,27,25,21,3.1,3.1,3.2,3.3,3.3,8.3,8.3,8.3,8.3,8.3,7.7,7.7,7.7,7.7,8.1,,,
Ealing Broadway,Ealing,81.8,81.4,82.2,81.8,81.5,14.8,14.8,14.8,13.5,14.8,312,352,359,383,372,0.82,0.78,0.75,0.66,0.82,14,11,11,11,9,4.5,4.5,4.6,4.7,5,-7.7,-7.7,-7.7,-7.7,-7.7,7.8,7.8,7.8,7.8,8,,,
Ealing Common,Ealing,80.8,81.3,81.1,80.8,80.8,17.4,17.4,17.4,19.3,19.7,320,328,338,343,341,1.24,0.86,0.86,0.94,1.06,22,19,21,18,15,3.6,3.6,3.4,3.3,3.6,6,6,6,6,6,7.9,7.9,7.9,7.9,8,,,
East Acton,Ealing,81.3,81.6,81.8,82.6,82.3,20.1,20.1,20.1,20,23.7,342,330,341,331,330,1.23,0.97,1.16,1.12,1.27,38,35,33,31,27,4,4,4.1,4.2,4,2.6,2.6,2.6,2.6,2.6,7.3,7.3,7.3,7.3,7.7,,,
Elthorne,Ealing,79.9,80.1,80.9,81.1,81.1,19.2,19.2,19.2,20.6,22,334,331,349,354,339,0.75,0.88,0.84,0.77,0.97,27,23,23,21,18,3.5,3.5,3.6,3.7,3.8,1.7,1.7,1.7,1.7,1.7,7.8,7.8,7.8,7.8,8,,,
Greenford Broadway,Ealing,79.6,79.8,79.6,79.8,80.1,24.7,24.7,24.7,23.8,23.8,309,328,328,337,336,0.82,0.76,0.89,1.12,0.99,35,31,27,27,23,3.1,3.1,3.2,3.3,3.4,2.9,2.9,2.9,2.9,2.9,7.2,7.2,7.2,7.2,7.7,,,
Greenford Green,Ealing,80.4,80.9,80.8,81.5,82.8,21.5,21.5,21.5,22.1,22.9,334,350,347,357,370,0.65,0.61,0.57,0.66,0.71,20,17,14,15,13,2.7,2.7,2.7,2.7,2.6,4.5,4.5,4.5,4.5,4.5,7.8,7.8,7.8,7.8,7.7,,,
Hanger Hill,Ealing,83.7,84.3,84.6,84.5,85,19.3,19.3,19.3,22.4,17.3,316,358,354,380,370,0.48,0.56,0.77,0.78,0.99,16,12,12,11,10,3.6,3.6,3.7,3.8,3.7,-5.8,-5.8,-5.8,-5.8,-5.8,7.6,7.6,7.6,7.6,7.7,,,
Hobbayne,Ealing,80.4,80.5,80.9,81.2,81.6,20.2,20.2,20.2,20.7,20.9,342,345,356,352,355,0.6,0.56,0.73,0.83,0.89,25,22,21,21,20,3,3,3,3,3.1,6.1,6.1,6.1,6.1,6.1,7.6,7.6,7.6,7.6,8,,,
Lady Margaret,Ealing,80,80.3,81,80.6,80.9,18.4,18.4,18.4,20.1,21.2,333,333,330,354,358,0.6,0.57,0.78,0.83,0.81,24,21,17,18,17,2.8,2.8,2.9,2.9,3,5.6,5.6,5.6,5.6,5.6,7.9,7.9,7.9,7.9,8.1,,,
Northfield,Ealing,82.1,82.5,82.8,83,83.9,16.3,16.3,16.3,14.2,13.5,371,370,381,363,385,0.47,0.41,0.33,0.31,0.32,11,9,9,8,6,3.3,3.3,3.3,3.4,3.4,4.4,4.4,4.4,4.4,4.4,7.6,7.6,7.6,7.6,8,,,
North Greenford,Ealing,83.3,83.4,83.4,84.3,84.3,22.8,22.8,22.8,22.6,24,339,350,344,363,359,0.8,0.7,0.81,0.79,0.94,20,19,15,14,11,2.7,2.7,2.7,2.7,2.6,10.4,10.4,10.4,10.4,10.4,6.8,6.8,6.8,6.8,7.7,,,
Northolt Mandeville,Ealing,81.5,81.9,82.1,82.8,82.8,22,22,22,21.9,23.8,307,327,341,334,340,0.83,0.8,0.88,0.99,1.04,34,30,28,28,23,2.8,2.8,3,3.2,3.2,11.4,11.4,11.4,11.4,11.4,7.7,7.7,7.7,7.7,7.7,,,
Northolt West End,Ealing,79.8,79.8,79.5,79.9,80.4,20.6,20.6,20.6,18.5,20,307,328,332,345,346,1.1,1.04,0.97,0.9,1.06,36,33,31,30,26,2.4,2.4,2.4,2.4,2.5,8.3,8.3,8.3,8.3,8.3,7.5,7.5,7.5,7.5,7.7,,,
Norwood Green,Ealing,78.4,78.8,79.1,79.4,79.6,20.3,20.3,20.3,20.7,22.5,322,337,341,343,337,1.09,1.02,1.1,0.87,1.14,37,32,29,29,26,2.2,2.2,2.2,2.2,2.3,12.5,12.5,12.5,12.5,12.5,8,8,8,8,8.1,,,
Perivale,Ealing,82.2,82.5,82.9,83.1,83.8,23.2,23.2,23.2,22.9,23.8,356,342,353,356,357,1.01,0.74,0.77,0.88,0.85,18,16,16,14,14,2.1,2.1,2.3,2.4,2.3,5.4,5.4,5.4,5.4,5.4,7.1,7.1,7.1,7.1,7.7,,,
South Acton,Ealing,78.4,79,79.7,79.2,79.2,22.1,22.1,22.1,26.6,27.3,338,347,343,338,344,0.75,0.77,0.88,0.72,0.96,36,31,31,30,25,4.5,4.5,4.7,4.8,4.6,3.4,3.4,3.4,3.4,3.4,7.4,7.4,7.4,7.4,7.7,,,
Southall Broadway,Ealing,78.6,78.9,79.6,80.1,80.9,25.3,25.3,25.3,25.3,23.6,340,343,332,335,338,0.68,0.66,0.68,0.84,1.13,27,23,21,20,18,3.2,3.2,3.3,3.4,3.2,-2.5,-2.5,-2.5,-2.5,-2.5,8.2,8.2,8.2,8.2,8.1,,,
Southall Green,Ealing,79.5,79.8,79.9,79.7,80,25.3,25.3,25.3,22.9,24.4,344,334,339,355,341,1.25,1.25,1.01,0.78,1.11,35,28,26,24,20,3,3,3,3.1,3,0.6,0.6,0.6,0.6,0.6,8.3,8.3,8.3,8.3,8.1,,,
Southfield,Ealing,82.4,82,81.9,82.3,83,17.1,17.1,17.1,16.6,16.2,331,331,340,367,353,0.85,0.44,1,0.86,0.99,16,16,14,13,11,3.3,3.3,3.4,3.5,3.1,4.9,4.9,4.9,4.9,4.9,7.3,7.3,7.3,7.3,7.7,,,
Walpole,Ealing,80.7,80.9,81.6,81.6,81.9,11.2,11.2,11.2,13.6,15.6,357,368,382,379,372,0.73,0.57,0.46,0.44,0.46,13,11,11,11,9,3.7,3.7,3.7,3.7,3.8,-2.2,-2.2,-2.2,-2.2,-2.2,7.9,7.9,7.9,7.9,8,,,
Addison,Hammersmith and Fulham,82.8,82.4,82.4,83.8,82.5,28.9,28.9,28.9,28.7,23.8,333,360,362,331,331,0.9,0.92,1.22,1.09,1.14,25,21,22,21,19,6.3,6.3,6.4,6.4,6.5,-9.9,-9.9,-9.9,-9.9,-9.9,7.7,7.7,7.7,7.7,7.9,,,
Askew,Hammersmith and Fulham,80.2,81.1,81.7,82.2,82.1,22.5,22.5,22.5,26.1,23.5,317,349,351,347,342,1.15,1.13,1.27,1.39,1.59,35,29,27,23,21,3.5,3.5,3.5,3.6,3.6,-5.6,-5.6,-5.6,-5.6,-5.6,8,8,8,8,7.9,,,
Avonmore and Brook Green,Hammersmith and Fulham,80.9,81.6,81.8,82.3,82.2,20.5,20.5,20.5,23.6,23.5,344,367,357,339,376,1.06,1.22,1.19,0.92,1.09,27,22,19,17,13,5.8,5.8,5.9,5.9,6,-9.7,-9.7,-9.7,-9.7,-9.7,7.8,7.8,7.8,7.8,7.9,,,
College Park and Old Oak,Hammersmith and Fulham,79.4,80,79.1,78.1,79.2,22.4,22.4,22.4,23.6,23,326,323,341,336,319,1.92,1.63,1.77,1.55,1.28,50,44,41,39,33,4.5,4.5,4.6,4.7,4.9,6.4,6.4,6.4,6.4,6.4,7.7,7.7,7.7,7.7,7.9,,,
Fulham Broadway,Hammersmith and Fulham,78.3,78.6,78.7,78.8,79.4,27.7,27.7,27.7,24.7,20.8,319,340,351,351,351,1.42,1.37,1.29,0.94,1.18,35,30,29,24,21,4.9,4.9,5,5.1,5.4,-4.5,-4.5,-4.5,-4.5,-4.5,7.5,7.5,7.5,7.5,7.7,,,
Fulham Reach,Hammersmith and Fulham,81.4,81.6,81,81.3,81.1,27.3,27.3,27.3,25.6,24.5,337,364,372,344,355,1.56,1.24,1.38,0.84,1.14,31,29,27,23,19,3.7,3.7,3.8,3.8,4.2,1.3,1.3,1.3,1.3,1.3,7.5,7.5,7.5,7.5,7.7,,,
Hammersmith Broadway,Hammersmith and Fulham,78.3,78.5,78.6,79.4,78.9,27.5,27.5,27.5,26,21.6,328,331,347,337,338,1.17,1.36,1.35,1.13,1.34,36,31,28,26,23,5.9,5.9,6,6.1,6,-7.7,-7.7,-7.7,-7.7,-7.7,7.6,7.6,7.6,7.6,7.7,,,
Munster,Hammersmith and Fulham,81.7,82.5,82.1,82.5,82.8,20.9,20.9,20.9,21.6,18.3,324,342,357,369,333,1.14,1.54,1.37,0.93,0.89,19,16,14,12,10,3.6,3.6,3.7,3.9,3.7,-5.9,-5.9,-5.9,-5.9,-5.9,7.4,7.4,7.4,7.4,7.7,,,
North End,Hammersmith and Fulham,80.9,80.2,80.1,80.5,80.4,25.8,25.8,25.8,29.7,26.5,340,347,361,342,362,1.76,1.67,1.55,1.26,1.28,40,38,35,30,26,5.2,5.2,5.3,5.3,5.2,-1.4,-1.4,-1.4,-1.4,-1.4,7.7,7.7,7.7,7.7,7.7,,,
Palace Riverside,Hammersmith and Fulham,83.5,83.6,83,83,84.4,10.1,10.1,10.1,13,10.5,350,399,356,373,370,0.87,0.63,0.81,0.78,0.93,10,9,7,7,6,3.8,3.8,3.9,4,3.7,13.5,13.5,13.5,13.5,13.5,8.1,8.1,8.1,8.1,7.7,,,
Parsons Green and Walham,Hammersmith and Fulham,83.1,83.3,82.4,82.5,83.1,22.2,22.2,22.2,26.6,27,357,317,341,374,354,2.11,1.82,1.63,1.3,1.22,15,14,14,12,10,4.6,4.6,4.7,4.9,4.7,4.1,4.1,4.1,4.1,4.1,7.8,7.8,7.8,7.8,7.7,,,
Ravenscourt Park,Hammersmith and Fulham,80.5,79.9,79.2,79.3,79.5,22.4,22.4,22.4,20.4,16.4,321,346,352,371,361,1.1,1.05,1.39,1.04,1.13,28,27,23,21,18,4.2,4.2,4.2,4.2,4,-4.2,-4.2,-4.2,-4.2,-4.2,7.9,7.9,7.9,7.9,7.9,,,
Sands End,Hammersmith and Fulham,80.1,80.9,81,81.2,82.4,21.9,21.9,21.9,25.4,26.5,321,334,354,347,351,1.59,1.62,1.75,1.09,1.19,37,31,29,25,23,3,3,3,3.1,3.4,1.6,1.6,1.6,1.6,1.6,8.2,8.2,8.2,8.2,7.7,,,
Shepherd's Bush Green,Hammersmith and Fulham,78.7,79.2,79.9,79.7,79.8,19.4,19.4,19.4,22.3,21,352,353,351,355,354,1.18,0.95,1.15,1.11,1.02,39,39,34,28,24,5.6,5.6,5.6,5.6,5.6,2.8,2.8,2.8,2.8,2.8,7.7,7.7,7.7,7.7,7.9,,,
Town,Hammersmith and Fulham,81.2,81.7,82,83.7,84.3,23.8,23.8,23.8,23.3,24.3,346,327,361,359,331,1.44,1.4,1.41,1.01,1.35,27,22,20,17,17,4.6,4.6,4.8,5.1,4.6,-7.7,-7.7,-7.7,-7.7,-7.7,8.2,8.2,8.2,8.2,7.7,,,
Wormholt and White City,Hammersmith and Fulham,80.6,81.1,81.4,81.6,82.6,26.5,26.5,26.5,28.4,28.2,346,356,347,333,323,1.46,1.3,1.52,1.38,1.34,49,45,44,39,35,3.1,3.1,3.1,3.1,3.2,1.9,1.9,1.9,1.9,1.9,7.9,7.9,7.9,7.9,7.9,,,
Bedfont,Hounslow,79.8,79.6,79.7,79.8,79.5,23.3,23.3,23.3,23.4,24.6,309,327,332,346,336,1.54,1.57,1.48,1.28,1.45,30,25,23,23,22,1.9,1.9,2,2.1,2.1,5.8,5.8,5.8,5.8,5.8,7.5,7.5,7.5,7.5,7.5,,,
Brentford,Hounslow,80.7,81.6,81.9,82.5,82.6,21.1,21.1,21.1,21.6,23.5,322,342,354,353,346,1.08,1.04,1.11,0.8,0.96,32,29,27,25,23,3.1,3.1,3.2,3.2,3.2,6,6,6,6,6,7.4,7.4,7.4,7.4,7.7,,,
Chiswick Homefields,Hounslow,80.7,81.2,82.1,82.7,83,16,16,16,17.1,20.3,349,357,362,369,382,0.61,0.44,0.69,0.59,0.55,15,12,11,10,9,3.5,3.5,3.6,3.8,3.6,10.4,10.4,10.4,10.4,10.4,7.8,7.8,7.8,7.8,7.7,,,
