Ward,Borough,Life Expectancy 2005-2009,Life Expectancy 2006-2010,Life Expectancy 2007-11,Life Expectancy 2008-12,Life Expectancy 2009-13,Childhood Obesity 2009,Childhood Obesity 2010,Childhood Obesity 2011,Childhood Obesity 2012,Childhood Obesity 2013,GCSE point scores - 2009,GCSE point scores - 2010,GCSE point scores - 2011,GCSE point scores - 2012,GCSE point scores - 2013,Unauthorised Absence in All Schools (%) - 2009,Unauthorised Absence in All Schools (%) - 2010,Unauthorised Absence in All Schools (%) - 2011,Unauthorised Absence in All Schools (%) - 2012,Unauthorised Absence in All Schools (%) - 2013,% dependent children in out-of-work households - 2009,% dependent children in out-of-work households - 2010,% dependent children in out-of-work households - 2011,% dependent children in out-of-work households - 2012,% dependent children in out-of-work households - 2013,Public Transport Accessibility - 2009,Public Transport Accessibility - 2010,Public Transport Accessibility - 2011,Public Transport Accessibility - 2012,Public Transport Accessibility - 2013,"Homes with access to open space & nature, and % greenspace - 2009","Homes with access to open space & nature, and % greenspace - 2010","Homes with access to open space & nature, and % greenspace - 2011","Homes with access to open space & nature, and % greenspace - 2012","Homes with access to open space & nature, and % greenspace - 2013","Subjective well-being average score, 2011/12 and 2012/13","Subjective well-being average score, 2011/12 and 2012/13","Subjective well-being average score, 2011/12 and 2012/13","Subjective well-being average score, 2011/12 and 2012/13","Subjective well-being average score, 2013",,,
Chiswick Riverside,Hounslow,82.2,83.4,84.6,83.8,84.7,21.3,21.3,21.3,22.5,16.7,332,370,376,370,361,0.89,0.78,0.78,0.67,0.64,15,14,12,11,10,2.9,2.9,2.9,2.9,2.8,3.7,3.7,3.7,3.7,3.7,7.2,7.2,7.2,7.2,7.7,,,
Cranford,Hounslow,79.6,79.6,79.9,80.7,81.5,23.1,23.1,23.1,25.9,25.8,320,339,353,358,351,1.52,1.68,1.34,1.32,1.26,29,28,27,26,23,2.4,2.4,2.4,2.4,2.4,-2.1,-2.1,-2.1,-2.1,-2.1,7.1,7.1,7.1,7.1,7.5,,,
Feltham North,Hounslow,76.8,77.5,77.1,77.3,77.3,25.9,25.9,25.9,23.8,27.5,324,338,338,349,343,1.15,1.46,1.45,1.11,1.27,27,21,21,21,21,2.8,2.8,2.9,3,2.9,5.2,5.2,5.2,5.2,5.2,7.5,7.5,7.5,7.5,7.5,,,
Feltham West,Hounslow,79.4,80.5,81.1,81.9,82.4,25.1,25.1,25.1,26.2,25.6,312,326,331,333,331,1.34,1.56,1.62,1.26,1.34,31,25,22,22,19,2.2,2.2,2.2,2.3,2.4,2.5,2.5,2.5,2.5,2.5,7.3,7.3,7.3,7.3,7.5,,,
Hanworth,Hounslow,80.4,80.8,81.8,81.7,82.1,22.5,22.5,22.5,24.5,26.6,283,329,333,320,331,1.6,1.57,1.68,1.27,1.48,36,30,27,27,26,2.4,2.4,2.5,2.6,2.6,7.5,7.5,7.5,7.5,7.5,7.7,7.7,7.7,7.7,7.5,,,
Hanworth Park,Hounslow,79.1,79.7,80.9,80.7,81.3,22.1,22.1,22.1,24.4,25.4,315,339,335,338,325,1.38,1.54,1.44,1.02,1.12,27,21,21,20,18,2.4,2.4,2.4,2.5,2.6,6.7,6.7,6.7,6.7,6.7,7.2,7.2,7.2,7.2,7.5,,,
Heston Central,Hounslow,79,79.5,80.4,80.4,80.7,22.7,22.7,22.7,24.6,27.2,339,354,367,351,345,1.28,1.19,1.34,1.14,1.28,26,23,21,19,16,2.8,2.8,2.9,2.9,2.9,0.4,0.4,0.4,0.4,0.4,7.3,7.3,7.3,7.3,7.5,,,
Heston East,Hounslow,84.3,85.4,84.2,83.9,83.4,25,25,25,24,23.5,360,352,351,358,356,1.16,0.99,1.28,1,1.03,28,25,20,21,19,2.2,2.2,2.3,2.4,2.3,6.1,6.1,6.1,6.1,6.1,7.3,7.3,7.3,7.3,7.5,,,
Heston West,Hounslow,81.1,80.7,80.6,81.5,81.6,27.5,27.5,27.5,27.1,26.7,334,339,352,360,347,1.67,1.48,1.57,1.18,1.17,33,31,31,28,22,2.1,2.1,2.2,2.3,2.3,4,4,4,4,4,7.2,7.2,7.2,7.2,7.5,,,
Hounslow Central,Hounslow,82.1,82.2,82.6,83.4,83,22.1,22.1,22.1,19.8,20.4,347,355,346,360,362,1.34,1.41,1.27,1.01,1.12,22,16,14,13,12,4.7,4.7,4.9,5.1,5.1,1.5,1.5,1.5,1.5,1.5,7.4,7.4,7.4,7.4,7.5,,,
Hounslow Heath,Hounslow,81,81,82.1,83.1,83.2,27.1,27.1,27.1,25.7,25.6,344,336,349,355,348,1.62,1.57,1.65,1.21,1.35,28,23,21,20,18,3,3,3.1,3.2,3.2,3.6,3.6,3.6,3.6,3.6,7.8,7.8,7.8,7.8,7.5,,,
Hounslow South,Hounslow,83,83.5,85.2,85.2,85.4,24.1,24.1,24.1,21.9,19.8,343,360,366,369,380,0.89,0.85,1.01,1.05,1.12,12,10,11,10,8,2.4,2.4,2.4,2.4,2.5,-4.8,-4.8,-4.8,-4.8,-4.8,7.8,7.8,7.8,7.8,7.5,,,
Hounslow West,Hounslow,78.5,78.7,78.4,78.7,78.9,26.6,26.6,26.6,27.1,23.7,326,332,352,356,356,1.32,1.17,1.14,1.03,1.2,19,17,17,18,16,3.9,3.9,3.9,4,3.9,-4.8,-4.8,-4.8,-4.8,-4.8,7,7,7,7,7.5,,,
Isleworth,Hounslow,77.7,78.2,78.9,80.5,81.1,21.5,21.5,21.5,19,20.6,313,311,342,342,354,1.4,1.55,1.37,1.02,1.2,35,34,29,26,23,2,2,2.2,2.4,2.4,1.4,1.4,1.4,1.4,1.4,8,8,8,8,7.5,,,
Osterley and Spring Grove,Hounslow,81.5,81.9,82.2,82.6,83.1,18,18,18,17.7,14.7,366,361,380,369,374,0.98,0.78,0.99,0.88,0.94,16,11,10,9,9,2.8,2.8,2.9,2.9,2.8,8.8,8.8,8.8,8.8,8.8,7.6,7.6,7.6,7.6,7.5,,,
Syon,Hounslow,76.5,77.1,77.6,78.1,78,22,22,22,21.5,22.6,312,312,358,347,352,1.2,1.18,1.24,1.08,1.06,33,26,25,22,20,3.4,3.4,3.5,3.6,3.6,6.6,6.6,6.6,6.6,6.6,8,8,8,8,7.7,,,
Turnham Green,Hounslow,82.3,83.6,83.8,84.3,83.9,18.4,18.4,18.4,17.4,13.5,333,347,354,347,373,0.63,0.62,0.69,0.92,0.96,16,15,15,16,12,4.5,4.5,4.6,4.7,4.4,-1.6,-1.6,-1.6,-1.6,-1.6,7.4,7.4,7.4,7.4,7.7,,,
Abingdon,Kensington and Chelsea,84.9,85.2,84.8,85.1,85.7,24.1,24.1,24.1,23.4,22.2,373,394,376,386,405,0.76,0.75,1.01,0.99,1.28,17,15,13,11,7,6.4,6.4,6.5,6.5,6.5,2.8,2.8,2.8,2.8,2.8,7.9,7.9,7.9,7.9,7.8,,,
Brompton,Kensington and Chelsea,85.4,84.8,85.3,85.9,86,23.7,23.7,23.7,23.1,21.8,338,398,395,315,373,1.14,0.88,1.02,1.03,0.89,13,8,7,8,6,6.9,6.9,7,7,6.8,3.8,3.8,3.8,3.8,3.8,8,8,8,8,7.8,,,
Campden,Kensington and Chelsea,87.3,87.9,88.5,88.2,88.1,23.7,23.7,23.7,23.1,21.8,383,351,373,380,396,0.76,0.8,0.48,0.44,0.46,8,5,5,4,3,6.8,6.8,6.8,6.9,6.8,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.8,,,
Colville,Kensington and Chelsea,81,82.5,83.1,83.2,82.8,27.4,27.4,27.4,26.7,27.1,343,389,370,352,356,0.94,1.04,1.55,1.15,1.28,35,30,31,26,22,5.4,5.4,5.5,5.6,5.4,6.1,6.1,6.1,6.1,6.1,7.9,7.9,7.9,7.9,7.8,,,
Courtfield,Kensington and Chelsea,86.6,87.3,86.5,87.1,88.5,23.7,23.7,23.7,23.1,21.8,295,420,328,403,363,0.69,0.3,0.38,0.63,0.59,7,4,4,2,2,7,7,6.9,6.9,6.9,4.9,4.9,4.9,4.9,4.9,7.6,7.6,7.6,7.6,7.8,,,
Cremorne,Kensington and Chelsea,84.4,85.4,84.7,84.6,84.7,27.7,27.7,27.7,24.6,24,318,334,361,362,376,0.81,1,1.12,1,1.48,38,31,28,25,23,4.3,4.3,4.2,4.2,4.7,8.3,8.3,8.3,8.3,8.3,8.1,8.1,8.1,8.1,7.8,,,
Earl's Court,Kensington and Chelsea,83.7,83.5,83.3,83.3,82.2,21.7,21.7,21.7,21.1,19.4,378,356,364,388,385,0.65,0.8,0.91,0.69,0.94,26,23,24,18,14,7,7,7,7,7,-1.5,-1.5,-1.5,-1.5,-1.5,7.9,7.9,7.9,7.9,7.8,,,
Golborne,Kensington and Chelsea,83.4,83,81.7,80.5,80.2,28.2,28.2,28.2,26.5,23.8,344,343,333,354,338,1.21,0.87,1.33,1.18,1.33,51,49,43,38,32,4.3,4.3,4.3,4.4,4.5,12.6,12.6,12.6,12.6,12.6,7.9,7.9,7.9,7.9,7.8,,,
Hans Town,Kensington and Chelsea,88.5,87.5,86.6,87.1,86.6,24.7,24.7,24.7,20.6,12.3,345,351,354,368,323,1.03,1.1,1.27,0.8,0.83,22,13,13,10,9,6.9,6.9,6.8,6.8,6.6,4.5,4.5,4.5,4.5,4.5,7.4,7.4,7.4,7.4,7.8,,,
Holland,Kensington and Chelsea,86.5,87.5,88.8,90.4,89.8,20.2,20.2,20.2,15.7,16.2,352,380,390,390,386,0.92,1.38,1.55,1.29,1.35,20,13,12,10,8,5.6,5.6,5.7,5.7,6,9,9,9,9,9,7.8,7.8,7.8,7.8,7.8,,,
Norland,Kensington and Chelsea,84.1,83.7,83.6,84.1,84.7,26.1,26.1,26.1,29.8,30.1,341,381,364,369,352,0.77,0.89,1.09,0.7,0.98,25,22,21,18,16,5.6,5.6,5.6,5.6,5.4,7.3,7.3,7.3,7.3,7.3,7.9,7.9,7.9,7.9,7.8,,,
Notting Barns,Kensington and Chelsea,79.6,80.8,80.9,81.1,81.4,23.8,23.8,23.8,25.4,18.7,346,339,376,348,356,1.12,0.75,1,0.92,1.08,41,39,36,35,31,4,4,4,4,4.2,5.7,5.7,5.7,5.7,5.7,8.2,8.2,8.2,8.2,7.8,,,
Pembridge,Kensington and Chelsea,83.9,83.8,84.5,83.8,84.2,19.6,19.6,19.6,19.6,19.6,230,369,376,386,430,0.9,0.84,0.76,0.78,0.53,14,8,9,7,5,7.1,7.1,7.1,7.1,7,0,0,0,0,0,8.4,8.4,8.4,8.4,7.8,,,
Queen's Gate,Kensington and Chelsea,88.5,88.8,88.9,88.3,88.5,23.7,23.7,23.7,23.1,21.8,388,363,245,373,341,0.64,0.8,0.76,0.55,0.64,5,3,3,2,3,6.1,6.1,6.1,6.1,6,4.3,4.3,4.3,4.3,4.3,7.6,7.6,7.6,7.6,7.8,,,
Redcliffe,Kensington and Chelsea,84.6,84.3,85,85.7,86.6,15.1,15.1,15.1,17,17,267,385,379,378,350,0.89,0.72,0.71,0.69,1,14,9,9,7,5,6,6,6.1,6.2,6.2,8.9,8.9,8.9,8.9,8.9,8,8,8,8,7.8,,,
Royal Hospital,Kensington and Chelsea,82.8,82.9,82.9,82.8,82.9,23.7,23.7,23.7,23.1,21.8,335,332,343,346,358,0.6,0.59,0.96,0.72,1.53,10,13,11,10,7,3.8,3.8,4.4,5.1,5,14.9,14.9,14.9,14.9,14.9,7.4,7.4,7.4,7.4,7.8,,,
St Charles,Kensington and Chelsea,79.2,79.4,78.1,77.9,78.3,23.4,23.4,23.4,24.1,23.3,348,363,346,343,337,1.56,1.38,1.74,1.38,1.57,44,40,37,32,30,3.6,3.6,3.7,3.8,3.8,9.2,9.2,9.2,9.2,9.2,7.9,7.9,7.9,7.9,7.8,,,
Stanley,Kensington and Chelsea,81.5,81.5,81.6,82.3,83.5,20.4,20.4,20.4,20.4,19,266,343,349,381,346,0.98,0.47,0.93,0.92,1.12,17,9,9,7,7,5.3,5.3,5.5,5.8,5.6,1.5,1.5,1.5,1.5,1.5,7.9,7.9,7.9,7.9,7.8,,,
Barnes,Richmond,85,85.7,85.6,85.4,85.3,19.8,19.8,19.8,19.2,19.8,349,337,335,341,344,1.03,1.21,1.24,1.21,1.11,11,8,8,8,6,3.2,3.2,3.2,3.3,3.4,11.1,11.1,11.1,11.1,11.1,8,8,8,8,7.6,,,
East Sheen,Richmond,85.1,85.2,85.9,86.6,86.4,7.5,7.5,7.5,7,8.3,352,381,374,378,369,0.51,0.71,0.7,0.63,0.92,5,3,3,3,3,2.5,2.5,2.5,2.6,2.6,14.8,14.8,14.8,14.8,14.8,7.8,7.8,7.8,7.8,7.6,,,
Fulwell and Hampton Hill,Richmond,81.8,82.4,82.3,82.2,82.4,5.9,5.9,5.9,6.5,6.3,350,361,380,384,373,0.93,0.72,0.59,0.44,0.53,8,8,6,6,6,2.9,2.9,3,3,3.2,-1,-1,-1,-1,-1,7.8,7.8,7.8,7.8,7.5,,,
"Ham, Petersham and Richmond Riverside",Richmond,81.5,82.4,82.8,82.5,82.8,14.3,14.3,14.3,14.5,13.7,319,317,337,359,366,1.17,1.17,1.04,0.9,0.99,21,16,14,13,11,2.1,2.1,2.1,2.1,2.1,17.5,17.5,17.5,17.5,17.5,7.3,7.3,7.3,7.3,7.6,,,
Hampton,Richmond,83.2,83,82.9,82.9,82.7,11,11,11,16,16.4,347,364,379,346,369,1.15,0.65,0.58,0.58,0.47,10,9,8,8,8,2.5,2.5,2.6,2.6,2.7,16.1,16.1,16.1,16.1,16.1,7.5,7.5,7.5,7.5,7.5,,,
Hampton North,Richmond,82.9,83.2,84.1,83.4,82.6,16,16,16,18.8,18.5,308,338,326,362,330,0.99,0.85,1.1,0.87,0.83,20,18,18,17,17,2.2,2.2,2.2,2.1,2.1,2.1,2.1,2.1,2.1,2.1,7.4,7.4,7.4,7.4,7.5,,,
Hampton Wick,Richmond,82,82.5,83.4,83.4,84.4,9.8,9.8,9.8,6.5,8.3,379,366,366,386,368,0.86,0.94,0.83,0.72,0.62,11,8,6,6,6,2.5,2.5,2.5,2.6,2.7,7.5,7.5,7.5,7.5,7.5,8,8,8,8,7.5,,,
Heathfield,Richmond,81.5,81.3,81.8,81.9,82.7,13.9,13.9,13.9,15.6,18.8,332,344,344,343,347,1.37,1.45,1.63,1.21,1.03,25,21,19,18,14,2,2,2,2,2,1.7,1.7,1.7,1.7,1.7,8.2,8.2,8.2,8.2,7.5,,,
Kew,Richmond,83,83.6,85.1,86.9,86.9,10.3,10.3,10.3,11.4,12.2,378,407,365,347,354,0.64,0.67,0.83,0.84,0.98,10,8,7,6,6,3,3,3.1,3.2,2.9,10.2,10.2,10.2,10.2,10.2,7.9,7.9,7.9,7.9,7.6,,,
Mortlake and Barnes Common,Richmond,82.3,82.4,82.8,84.2,84.7,8.6,8.6,8.6,10.3,9.1,298,352,350,358,348,0.8,0.87,1.06,0.8,0.85,15,11,10,10,9,3.1,3.1,3.1,3.2,3,5.4,5.4,5.4,5.4,5.4,8.3,8.3,8.3,8.3,7.6,,,
North Richmond,Richmond,83.9,83.8,84.5,85.2,85.9,12.3,12.3,12.3,13.3,13.2,354,360,351,348,357,0.94,0.77,0.82,0.8,0.89,13,8,8,8,7,4.3,4.3,4.4,4.4,4.4,6.6,6.6,6.6,6.6,6.6,7.9,7.9,7.9,7.9,7.6,,,
St Margarets and North Twickenham,Richmond,83.5,84.3,84.7,85.2,85.4,10,10,10,10.8,9.7,375,368,377,360,387,0.83,0.79,0.77,0.77,0.63,7,5,5,4,3,3,3,3,3.1,3.1,2.6,2.6,2.6,2.6,2.6,7.5,7.5,7.5,7.5,7.5,,,
South Richmond,Richmond,83.1,83.4,84.3,83.8,84,5.7,5.7,5.7,10.3,9.5,374,313,348,373,342,0.95,0.68,0.91,0.71,1.01,8,5,4,4,4,4.1,4.1,4.1,4.1,4.2,5.9,5.9,5.9,5.9,5.9,7.5,7.5,7.5,7.5,7.6,,,
South Twickenham,Richmond,82.9,82.6,83.5,84.6,85.6,6.2,6.2,6.2,5.5,9.4,376,396,386,388,400,0.55,0.48,0.47,0.46,0.45,6,4,3,4,4,3.4,3.4,3.4,3.5,3.5,0.1,0.1,0.1,0.1,0.1,7.8,7.8,7.8,7.8,7.5,,,
Teddington,Richmond,82.6,83,82.9,83.3,83.3,7.9,7.9,7.9,5.8,6.2,362,406,384,387,376,0.46,0.59,0.48,0.5,0.47,7,6,6,5,4,3,3,3,3.1,3.2,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.5,,,
Twickenham Riverside,Richmond,80.8,81.2,82.4,82.9,82.9,7.9,7.9,7.9,3.9,7.4,370,402,379,403,381,0.78,0.98,0.88,0.62,0.77,7,6,5,4,3,4.2,4.2,4.2,4.3,4.5,4.1,4.1,4.1,4.1,4.1,7.6,7.6,7.6,7.6,7.5,,,
West Twickenham,Richmond,81.9,82.5,83.6,83.9,83.6,14,14,14,13.8,12.5,340,345,351,346,380,0.83,0.91,0.95,0.64,0.63,12,10,10,8,7,2.7,2.7,2.7,2.7,2.7,8.1,8.1,8.1,8.1,8.1,7.7,7.7,7.7,7.7,7.5,,,
Whitton,Richmond,82.2,82.7,83,83.1,82.6,13.8,13.8,13.8,14.5,12.4,349,364,372,350,364,1,0.9,0.95,0.76,0.93,16,12,11,10,9,2.4,2.4,2.4,2.3,2.4,-2.8,-2.8,-2.8,-2.8,-2.8,7.8,7.8,7.8,7.8,7.5,,,
